id,speaker,text,portrait_key,emotion,board_node_id,board_display_name,board_description,show_portraits,portrait_layout
character.han_seongmi.accident.001,한성미,그날 이후로 저는 아이들 앞에 설 자격이 없다고 생각했어요.,han_seongmi,downcast,,,,,
character.han_seongmi.alibi.001,한성미,저는 대부분 방에 있었습니다. 잠을 잘 못 자서 약을 먹고 쉬고 있었어요.,han_seongmi,nervous,,,,,
character.han_seongmi.victim.001,한성미,아이들을 지켜야 했던 건 저였어요. 그런데 살아남은 사람도 저였죠.,han_seongmi,guilty,,,,,
character.han_seongmi.medicine.001,한성미,잠을 자려면 약이 필요해요. 그렇다고 남의 약까지 알 수 있는 건 아니에요.,han_seongmi,nervous,,,,,
character.park_sanggu.no_keyword.001,박상구,물어볼 게 정해지면 말씀하세요.,park_sanggu,neutral,,,,,
character.park_sanggu.unknown_keyword.001,박상구,그건 제가 답할 수 있는 이야기가 아닙니다.,park_sanggu,awkward,,,,,
character.park_sanggu.accident.001,박상구,운전대를 잡고 있던 건 저였어요. 아직도 그 순간이 매일 떠오릅니다.,park_sanggu,guilty,,,,,
character.park_sanggu.alibi.001,박상구,한성미 씨와 같이 있었다고 해두죠. 서로 혼자 두기엔 밤이 너무 길었으니까요.,park_sanggu,guarded,,,,,
character.park_sanggu.victim.001,박상구,아이들은 저를 좋아했습니다. 그래서 더 견디기 어렵습니다.,park_sanggu,sad,,,,,
character.park_sanggu.wound.001,박상구,상처가 어땠는지는 보고 싶지 않습니다. 저는 그런 걸 볼 자격이 없어요.,park_sanggu,shaken,,,,,
character.yoon_taesik.no_keyword.001,윤태식,필요한 질문만 하시오.,yoon_taesik,stern,,,,,
character.yoon_taesik.unknown_keyword.001,윤태식,그 질문에는 대답할 말이 없소.,yoon_taesik,closed,,,,,
character.yoon_taesik.accident.001,윤태식,의사였던 내가 내 아이에게 해줄 수 있었던 말은 사망 선고뿐이었소.,yoon_taesik,hollow,,,,,
character.yoon_taesik.alibi.001,윤태식,작업실에 있었소. 산장에 필요한 수리 도구를 정리하고 있었지.,yoon_taesik,neutral,,,,,
character.yoon_taesik.victim.001,윤태식,사람을 살리던 손이 이제는 나무나 깎고 있소. 그게 내게 남은 전부요.,yoon_taesik,bitter,,,,,
character.yoon_taesik.medicine.001,윤태식,수면제와 진정제는 쓰임에 따라 약이 되기도 하고 족쇄가 되기도 하오.,yoon_taesik,stern,,,,,
character.yoon_taesik.weapon.001,윤태식,칼은 도구일 뿐이오. 문제는 그 도구를 쥔 손이지.,yoon_taesik,closed,,,,,
character.choi_hyeondo.no_keyword.001,최현도,산장에 대해 묻고 싶은 게 생기면 말하게.,choi_hyeondo,calm,,,,,
character.choi_hyeondo.unknown_keyword.001,최현도,그건 이 늙은이가 알 바가 아니네.,choi_hyeondo,stern,,,,,
character.choi_hyeondo.accident.001,최현도,평생 법을 믿었네. 하지만 법이 모든 사람을 지켜주지는 않더군.,choi_hyeondo,heavy,,,,,
character.choi_hyeondo.alibi.001,최현도,산장 주인은 밤에도 할 일이 많다네. 난 난방과 출입문을 확인하고 있었지.,choi_hyeondo,calm,,,,,
character.choi_hyeondo.lodge.001,최현도,눈이 이만큼 오면 누구도 쉽게 오가지 못하네. 이 산장은 오늘 완전히 고립됐어.,choi_hyeondo,serious,,,,,
character.choi_hyeondo.suspect.001,최현도,증거가 날 가리킨다면 그렇게 적게. 늙은이가 숨길 수 있는 건 많지 않네.,choi_hyeondo,calm,,,,,
character.choi_hyeondo.planted.001,최현도,너무 잘 정리된 증거는 때때로 고백보다 더 큰 거짓말일 수 있지.,choi_hyeondo,heavy,,,,,
character.seo_jia.no_keyword.001,서지아,질문이 정리되면 인터뷰처럼 답해드릴게요.,seo_jia,polite,,,,,
character.seo_jia.unknown_keyword.001,서지아,그 부분은 아직 확인된 내용이 아니에요.,seo_jia,professional,,,,,
character.seo_jia.accident.001,서지아,사람들은 금방 잊지만 방송은 잊힌 사람을 다시 화면 위로 올릴 수 있죠.,seo_jia,controlled,,,,,
character.seo_jia.alibi.001,서지아,촬영 준비 때문에 계속 장비와 스태프 동선을 확인하고 있었어요.,seo_jia,professional,,,,,
character.seo_jia.return.001,서지아,강민혁 씨의 복귀는 화제성이 충분했어요. 그래서 이 프로그램이 가능했습니다.,seo_jia,smile,,,,,
character.seo_jia.documentary.001,서지아,이 다큐는 강민혁 씨가 원한 복귀 무대였어요. 그래서 모두가 이 산장에 모일 수 있었죠.,seo_jia,controlled,,,,,
character.seo_jia.medicine.001,서지아,출연자의 건강 상태는 제작진이 어느 정도 파악합니다. 하지만 약통까지 들여다보진 않아요.,seo_jia,professional,,,,,
character.lee_sujin.no_keyword.001,이수진,아직 안내해드릴 이야기는 없네요.,lee_sujin,bright,,,,,
character.lee_sujin.unknown_keyword.001,이수진,그건 제 담당 안내 범위가 아니에요.,lee_sujin,polite,,,,,
character.lee_sujin.accident.001,이수진,그 사고 이후로 제 삶은 전부 멈췄어요. 그런데 세상은 아무렇지 않게 움직이더군요.,lee_sujin,quiet,,,,,
character.lee_sujin.alibi.001,이수진,저는 손님 안내와 일정 확인을 하고 있었어요. 산장 안을 계속 오갔고요.,lee_sujin,neutral,,,,,
character.lee_sujin.return.001,이수진,그 사람이 다시 웃는 얼굴로 카메라 앞에 서는 걸 보는 게 쉽지는 않았어요.,lee_sujin,strained,,,,,
character.lee_sujin.lodge.001,이수진,방 배정은 제가 도왔어요. 눈이 오면 통로마다 안전한 구역이 달라지거든요.,lee_sujin,bright,,,,,
object.chapter1.medicine.first,약통,서랍 안쪽에 숨겨진 약통이다. 라벨의 약명과 안쪽 알약의 색이 맞지 않는다.,,,,,,,
object.chapter1.medicine.repeat,약통,이미 확인한 약통이다. 누군가 내용물만 바꿔치기한 가능성이 남아 있다.,,,,,,,
object.chapter1.knife.first,흉기,최현도의 창고 물건처럼 보이는 칼이다. 하지만 손잡이와 칼날의 흔적이 지나치게 정리되어 있다.,,,,,,,
object.chapter1.knife.repeat,흉기,칼은 하나뿐이다. 그러나 그 하나가 한 사람만을 뜻하지는 않는다.,,,,,,,
object.chapter1.choi_clues.first,관리 기록,마스터키 사용 기록과 장갑이 최현도를 가리킨다. 너무 친절할 정도로.,,,,,,,
object.chapter1.choi_clues.repeat,관리 기록,기록은 여전히 최현도를 가리킨다. 하지만 정리된 흔적이 오히려 거슬린다.,,,,,,,
object.chapter1.room_assignment.first,방 배정표,주인공 일행의 방은 강민혁의 방에서 가장 먼 복도에 배정되어 있다.,,,,,,,
object.chapter1.room_assignment.repeat,방 배정표,"방 배정은 우연처럼 보이지만, 누군가의 손을 거친 흔적이 있다.",,,,,,,
tutorial.opening.001,손주 올빼미,"우리 할아버지는 모두가 인정하는 탐정이다. 오래된 사건도, 아무도 보지 못한 거짓말도, 할아버지 눈앞에서는 오래 숨지 못했다.",child_owl,admire,,,,TRUE,single
tutorial.opening.002,손주 올빼미,"나도 언젠가는 그런 탐정이 되고 싶다. 단서를 보고, 말 사이의 빈틈을 듣고, 마지막에는 누구도 다치지 않게 진실을 꺼내는 탐정.",child_owl,hopeful,,,,TRUE,single
tutorial.opening.003,손주 올빼미,"하지만 지금의 나는 아직 초짜다. 사건보다 먼저 찻잔을 엎고, 추리보다 먼저 배가 고픈 쪽에 가깝다.",child_owl,awkward,,,,TRUE,single
tutorial.opening.004,나레이션,"그날 아침, 탐정 사무소의 창문 틈으로 낡은 초대장 하나가 날아들었다.",narration,,,,,FALSE,
tutorial.opening.005,손주 올빼미,"할아버지, 이거 봐요. 봉투에 발신인도 없고... 겉면에 이상한 문양이 그려져 있어요.",child_owl,curious,,,,,
tutorial.opening.006,할아버지 올빼미,"흠. 글씨는 숨기고 싶어 하고, 문양은 보여주고 싶어 하는군.",old_owl,calm,,,,,
tutorial.opening.007,손주 올빼미,그게 무슨 뜻이에요?,child_owl,puzzled,,,,,
tutorial.opening.008,할아버지 올빼미,수수께끼라는 뜻이지. 그리고 마침 네가 풀어볼 만한 정도다.,old_owl,teaching,,,,,
tutorial.opening.009,손주 올빼미,제가요? 진짜 사건일 수도 있잖아요.,child_owl,nervous,,,,,
tutorial.opening.010,할아버지 올빼미,진짜 사건일수록 처음에는 작은 연습처럼 보인다. 우선 사무소를 둘러보며 단서를 모아라. 화면 양쪽으로 이동하면 다른 공간을 볼 수 있을 게다.,old_owl,teaching,,,,,
tutorial.opening.011,할아버지 올빼미,"초대장에 적힌 문양은 만트라 조각으로 나뉘어 있다. 주 만트라, 보조 만트라, 장식 만트라를 맞춰 어떤 마법인지 추리해보거라.",old_owl,teaching,,,,,
tutorial.opening.012,할아버지 올빼미,그리고 단서는 혼자 있을 때보다 서로 이어질 때 더 많은 말을 한다. 수사노트의 단서연결에서 관련 있어 보이는 것들을 묶어보면 된다.,old_owl,teaching,,,,,
tutorial.opening.013,손주 올빼미,"그러니까... 사무소를 살펴보고, 초대장의 만트라를 맞추고, 단서들을 연결해서 수수께끼를 풀면 되는 거죠?",child_owl,focused,,,,,
tutorial.opening.014,할아버지 올빼미,그래. 답을 맞히는 것보다 중요한 건 왜 그렇게 생각했는지 설명할 수 있는 눈이다.,old_owl,calm,,,,,
tutorial.opening.015,손주 올빼미,좋아요. 이번엔 찻잔부터 엎지르지 않고 시작해볼게요.,child_owl,determined,,,,,
tutorial.opening.016,할아버지 올빼미,"그 정도면 이미 훌륭한 첫걸음이지. 자, 초대장은 네게 맡기마.",old_owl,warm,,,,,
character.old_owl.no_keyowrd.001,old_owl,아직은 단서를 찾지 못한것 같구나.,old_owl,calm,,,,,
character.old_owl.no_unkown_keyowrd.001,old_owl,그건 직접 확인해 보는게 나을것같구나,old_owl,teaching,,,,,
